"Tags : imprimable, mulit utilité, impression 3D",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Numéro,Dénomination commune,Référence,Fabricant,Quantité,Prix unitaire,Prix de l'ensemble,Lien de commande,,,,
,Souris sans fil,Logitech,M590,2,45,90,,,,"Upgrade éventuel : processeur, et ajout carte graphique, en fonction des besoins",
,Clavier distant sans fil + trackpad,Logitech,K400 PLUS,1,40,40,,,,,
,Hub USB,TP-Link,UH400 USB 3.0,2,"18,95","37,9",,,,,
,Hub Ethernet,Netgear,GS108,1,"41,95","41,95",https://www.materiel.net/produit/200402190015.html,,,,
,,,,,,0,,,,,
,License windows 10,Windows,,2,20,40,,,,,
,,,,3,,0,,,,,
,,,,,,0,,,,,
,Appareil photo + microphone,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rajouter des kits de robots à Monter,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Upgrades : ,,,,,,,,,,,
Écran commun,,,,,,,,,,,
rétroprojecteur,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
out ? : chromecast,,,,,,,,,,,
